NAME,RELEASE-DATE,IMAGE
Nike Air Max Dn8 “Wolf Grey Metallic Silver”,"March 6, 2025",https://www.sneakerfiles.com/wp-content/uploads/2025/02/nike-air-max-dn8-wolf-grey-metallic-silver-HF5509-001-300x213.jpg
Air Jordan 4 “Abundance” (Seafoam),"March 8, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Nike Air Max Uptempo 95 “Mystic Teal” 2025,"March 9, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Nike Air Max Uptempo “White Black Teal” 2025,"March 9, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Nike Air Foamposite One “Black Volt”,"March 14, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 13 “Bright Cactus”,"March 14, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Nigel Sylvester x Air Jordan 4 “Brick by Brick”,"March 14, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
A Ma Maniere x Air Jordan 3 “Diffused Blue”,"March 15, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 9 “Cool Grey” 2025,"March 15, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
adidas Anthony Edwards 1 Low “Arctic Night”,"March 15, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 1 Low OG “Obsidian”,"March 22, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 3 “Rare Air”,"April 12, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
adidas Anthony Edwards 1 Low “3SSB”,"April 12, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Nike Kobe 8 Protro “What The Kobe” 2025,"April 13, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Nike Kobe 6 Protro “Dodgers”,"April 13, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Nike Kobe 9 Elite Protro “What The” 2025,"April 13, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Nike KD 18 “Liquid Lime”,"April 18, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 1 Low OG “Rookie of the Year”,"April 18, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 3 “Sail”,"April 23, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 1 Low OG “Phantom”,"April 26, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 11 Low “Bred” 2025,"April 26, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 4 “Forget Me Not”,"May 3, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Nike A’One “Pink A’ura”,"May 8, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 1 High OG “UNC Reimagined”,"May 10, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
A Ma Maniere x Air Jordan 5 “Violet Ore”,"May 14, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Swarovski x Air Jordan 1 Low OG,"May 15, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 12 “Melo” 2025,"May 17, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 1 High OG “Ruby”,"May 22, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 4 “White Cement” 2025,"May 24, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 3 OG SP “Sport Royal”,"May 28, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 11 Low “Igloo”,"June 7, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 14 “Ferrari” 2025,"June 11, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 1 Low OG “Washed Teal”,"June 18, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 3 “Pure Money” 2025,"July 5, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 5 “Luminous Green”,"July 5, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
adidas Anthony Edwards 1 Low “Preloved Lime”,"July 12, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Nike Kobe 9 Elite Low Protro “Moonwalker” 2025,"July 12, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 3 “Orange Trance”,"July 12, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 1 High OG “Shattered Backboard” 2025,"July 12, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Terror Squad x Nike Air Force 1 Low “University Red”,"August 1, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 10 “Steel” 2025,"August 2, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 4 “Rare Air Laser”,"August 2, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 4 Denim “Worn Blue”,"August 9, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 1 High OG “Self Expression”,"August 9, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 12 “French Blue” 2025,"August 16, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 1 Low OG “Summit White”,"August 23, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Awake NY x Air Jordan 5 “Arctic Pink”,"August 29, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Travis Scott x Fragment x Air Jordan 1 Low OG “Sail Military Blue”,"September 3, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 4 “Cave Stone”,"September 6, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 1 High OG “Baroque Brown”,"September 9, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 5 “Fire Red” Black Tongue 2025,"September 13, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Awake NY x Air Jordan 5 “Racer Blue”,"September 19, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 1 Low OG “Storm Blue”,"September 20, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 8 “Aqua” 2025,"September 27, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 11 “Rare Air”,"October 1, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 1 High OG “Pro Green”,"October 4, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 5 “Medium Soft Pink”,"October 11, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 1 Low OG “Chicago” 2025,"October 18, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 3 “Family Affair”,"October 25, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 10 “Shadow” 2025,"October 29, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 4 “Cozy Girl”,"November 1, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 12 “Taxi” 2025,"November 8, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 11 WMNS “Grand Finale”,"November 11, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 8 “Bugs Bunny” 2025,"November 15, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 1 Low OG “Voodoo Alternate”,"November 19, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 3 “Champagne & Oysters”,"November 22, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 4 “Black Cat” 2025,"November 28, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Swarovski x Air Jordan 1 High OG,"December 6, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
Air Jordan 11 “Gamma Blue”,"December 13, 2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='213'%20viewBox='0%200%20300%20213'%3E%3C/svg%3E"
